ZCR,energia total,dynamic_range,max_amp,min_amp,mean_amp,ff,centroid_mean,bandwidth_mean,tempo,num_onset,mean_ioi,variance_ioi,onset_density
0.497223328955588,93783339,90.3087329864502,32767,1,20829.005098351707,1535.05,6634.520092897417,3466.5326079827632,93.96306818181819,97,0.0944520030234316,0.0020685445993296127,10.69767325544174,1430
0.49868802412017194,151790418,90.3087329864502,32767,1,20834.075296692623,1416.35,5385.792288267987,3356.4487264735867,151.99908088235293,102,0.13954962843223098,0.006344493089067084,7.236859040362438,1431
0.49849361787725843,60045543,90.3087329864502,32767,1,20830.82761639602,2264.52,7782.4113987902765,3210.6959186098566,184.5703125,125,0.07939726428205691,0.0020509779220225137,12.696464106721697,1432
0.49852711846315256,261657558,90.3087329864502,32767,1,20830.460596025627,2778.08,8219.23874987972,3026.449542277919,112.34714673913044,479,0.0726716572263494,0.0012553755770477934,13.78931055731952,1440
0.5006305814506873,315916270,90.3087329864502,32767,1,20830.57538282803,2675.16,9732.730423008778,3017.6561567664658,109.95678191489361,293,0.11017550399155097,0.004884333850514501,9.107511390292313,1441
0.4979027735889101,85486824,90.3087329864502,32767,1,20830.3047205746,963.48,3856.646760533404,3676.5819960331,198.76802884615384,99,0.08150677958258133,0.001823756374736869,12.394111101017442,1447
0.49689935711441086,69464764,90.3087329864502,32767,1,20832.575232243435,1241.64,3959.1420446978354,3390.650135283702,99.38401442307692,105,0.07981859410430839,0.0017411118270204743,12.648874562937062,1448
0.4972136175898931,80850100,90.3087329864502,32767,1,20831.910709224165,1142.6,5859.133961358583,3745.3773990320137,93.96306818181819,79,0.11431362288505145,0.003525583936458324,8.860015869140625,1449
0.49884101788863694,129577731,90.3087329864502,32767,1,20832.440870152775,2089.16,7021.183876674085,3223.6535469042838,139.6748310810811,243,0.08136579149566162,0.001603007935894569,12.340963111733492,1450
0.5001172882946282,59804312,90.3087329864502,32767,1,20834.81565720541,2364.81,10323.20597375526,2994.0498843848477,206.71875,80,0.09023450730503173,0.00285945604248055,11.22251628664495,1455
